query,epsilon,sens,real_count,dp_count,error
infringed == 0,0.01,1,282686,282674.98861989885,0.0038952689914416145
infringed == 0,0.2,1,282686,282678.41123210214,0.0026845220130680488
infringed == 0,log(2),1,282686,282685.5732831937,0.00015095080984160234
infringed == 0,log(3),1,282686,282686.8181856315,-0.00028943266786356887
annual_income > 10000,0.01,1,307511,307505.51362324296,0.0017841237409507405
annual_income > 10000,0.2,1,307511,307512.3266953554,-0.0004314302107606182
annual_income > 10000,log(2),1,307511,307511.5650716472,-0.0001837565638861252
annual_income > 10000,log(3),1,307511,307511.50549776474,-0.00016438363659765373
credit_amount > 40000,0.01,1,307511,307669.5242207733,-0.05155074802960217
credit_amount > 40000,0.2,1,307511,307518.17127026344,-0.0023320369884132636
credit_amount > 40000,log(2),1,307511,307513.90842887526,-0.0009457966951633536
credit_amount > 40000,log(3),1,307511,307510.79500388174,6.666301962004843e-05
days_employed > 10,0.01,1,55374,55391.803689087166,-0.03215171215221273
days_employed > 10,0.2,1,55374,55366.56180105175,0.01343265602674526
days_employed > 10,log(2),1,55374,55371.416743398535,0.004665107453796203
days_employed > 10,log(3),1,55374,55373.679006652266,0.000579682428095762
goods_valuation > 200000,0.01,1,265568,265722.7482902371,-0.05827068405722736
goods_valuation > 200000,0.2,1,265568,265572.9381921848,-0.0018594831398292173
goods_valuation > 200000,log(2),1,265568,265567.6794926156,0.00012068750164591082
goods_valuation > 200000,log(3),1,265568,265567.42833482346,0.0002152613178318479
