attribute,epsilon,sens,real,dp_mean,error
annual_income,0.01,117000000,168797.9192969845,190297.06541616173,-12.73661796822948
annual_income,0.2,117000000,168797.9192969845,170290.0134408609,-0.8839529243551842
annual_income,log(2),117000000,168797.9192969845,168552.02666321446,0.1456727871967509
annual_income,log(3),117000000,168797.9192969845,169720.44830636866,-0.5465286617431911
credit_amount,0.01,4050000,599025.9997057016,598087.2127368123,0.1567189019091856
credit_amount,0.2,4050000,599025.9997057016,599012.0614480312,0.00232682015091616
credit_amount,log(2),4050000,599025.9997057016,599022.138151957,0.0006446387546689043
credit_amount,log(3),4050000,599025.9997057016,599025.8815485637,1.9724876372958282e-05
days_employed,0.01,365243,63815.04590404896,63717.678697423034,0.1525771943693711
days_employed,0.2,365243,63815.04590404896,63811.80753721635,0.005074613340365797
days_employed,log(2),365243,63815.04590404896,63815.568776476866,-0.0008193560319519237
days_employed,log(3),365243,63815.04590404896,63814.41853449059,0.0009831060206541252
goods_valuation,0.01,4050000,538396.2074288895,542835.2404941784,-0.8244918898087168
goods_valuation,0.2,4050000,538396.2074288895,537890.3676176546,0.09395307846808373
goods_valuation,log(2),4050000,538396.2074288895,537910.1745939853,0.0902741936510291
goods_valuation,log(3),4050000,538396.2074288895,537916.6414057724,0.08907306858776268
past_loans_approved,0.01,27,3.044417416519788,2.879463015570287,5.418258352301368
past_loans_approved,0.2,27,3.044417416519788,2.8800901052925014,5.397660331845583
past_loans_approved,log(2),27,3.044417416519788,2.8816387245046045,5.346792825842634
past_loans_approved,log(3),27,3.044417416519788,2.8815327281900975,5.350274487520554
credit_annuity,0.01,258026,27108.573909183444,27056.236026836934,0.1930676343279709
credit_annuity,0.2,258026,27108.573909183444,27104.9076782559,0.013524248600562736
credit_annuity,log(2),258026,27108.573909183444,27107.843050801872,0.0026960414222470205
credit_annuity,log(3),258026,27108.573909183444,27108.086740021798,0.0017971036148134326
