attribute,epsilon,sens,real_sum,dp_sum,error
annual_income,0.01,117000000,51907216960.935005,53681030576.59889,-3.417277441398652
annual_income,0.2,117000000,51907216960.935005,52730970330.36601,-1.5869727133530547
annual_income,log(2),117000000,51907216960.935005,51271201605.02605,1.2252927302722068
annual_income,log(3),117000000,51907216960.935005,51944685501.19867,-0.0721836816870047
credit_amount,0.01,4050000,184207084195.5,183213230604.0049,0.5395306026560327
credit_amount,0.2,4050000,184207084195.5,184215583518.76987,-0.004614004562846543
credit_amount,log(2),4050000,184207084195.5,184213959677.4052,-0.0037324742070806655
credit_amount,log(3),4050000,184207084195.5,184202417391.49704,0.002533455226948438
days_employed,0.01,365243,19623828581.0,19577995132.51683,0.23356017554875091
days_employed,0.2,365243,19623828581.0,19624795429.676144,-0.004926911546097378
days_employed,log(2),365243,19623828581.0,19623516358.071598,0.001591039827489344
days_employed,log(3),365243,19623828581.0,19624044270.343052,-0.001099119583936557
goods_valuation,0.01,4050000,165413081997.0,165780943504.0865,-0.22238960948273637
goods_valuation,0.2,4050000,165413081997.0,165421958097.77637,-0.005366021036067853
goods_valuation,log(2),4050000,165413081997.0,165424645101.06546,-0.00699044109804442
goods_valuation,log(3),4050000,165413081997.0,165414605110.16034,-0.0009207936530479367
past_loans_approved,0.01,27,886099.0,887423.5221379722,-0.14947789558189062
past_loans_approved,0.2,27,886099.0,885972.3288668911,0.014295370281300703
past_loans_approved,log(2),27,886099.0,886092.9926486728,0.0006779548704176216
past_loans_approved,log(3),27,886099.0,886059.8650003346,0.004416549354579079
credit_annuity,0.01,258026,8335859368.5,8339071427.584277,-0.03853302871705174
credit_annuity,0.2,258026,8335859368.5,8334823121.286344,0.012431198366568573
credit_annuity,log(2),258026,8335859368.5,8335376507.8375845,0.005792572080092482
credit_annuity,log(3),258026,8335859368.5,8335993975.183436,-0.0016147907190595468
